Año,Mes,Unidad de Medida,Acueducto La Vega,Acueducto Jarabacoa,Acueducto Constanza,Acueducto Jima,Acueductos rurales
2019,Enero ,Galones por mes,424531756.8,28302117.12,48113599.104,24764352.48,42453175.68
2019,Febrero,Galones por mes,351494035.2,22367802.24,40262044.032,22367802.24,1323808.704
2019,Marzo ,Galones por mes,283021171.2,21226587.84,43868281.536,23349246.624,1255335.84
2019,Abril ,Galones por mes,308127888,23965502.4,44507361.6,23965502.4,1392281.568
2019,Mayo,Galones por mes,459909403.2,28302117.12,48113599.104,25471905.408,45283387.392
2019,Junio,Galones por mes,376600752,23965502.4,44507361.6,24650231.04,41083718.4
2019,Julio,Galones por mes,424531756.8,24764352.48,44575834.464,24764352.48,41038069.824
2019,Agosto,Galones por mes,353776464,24764352.48,43868281.536,24056799.552,38915411.04
2019,Septiembre,Galones por mes,410837184,27389145.6,46561547.52,23965502.4,44507361.6
2019,Octubre,Galones por mes,459909403.2,29717222.976,47406046.176,25471905.408,42453175.68
2019,Noviembre,Galones por mes,410837184,27389145.6,45192090.24,23280773.76,41083718.4
2019,Diciembre,Galones por mes,459909403.2,29717222.976,48113599.104,25471905.408,45990940.32
2020,Enero ,Galones por mes,459909403.2,35377646.4,49528704.96,25471905.408,49528704.96
2020,Febrero,Galones por mes,450094959.36,34419026.304,47657113.344,22504747.968,43023782.88
2020,Marzo,Galones por mes,459909403.2,34670093.472,48113599.104,21226587.84,48113599.104
2020,Abril ,Galones por mes,445073616,34921160.64,49300462.08,24650231.04,46561547.52
2020,Mayo,Galones por mes,452833873.92,35377646.4,49528704.96,21226587.84,43868281.536
2020,Junio,Galones por mes,445073616,35605889.28,49300462.08,22596045.12,43822632.96
2020,Julio,Galones por mes,452833873.92,34670093.472,48113599.104,24056799.552,45990940.32
2020,Agosto,Galones por mes,495287049.6,35377646.4,49528704.96,24764352.48,49528704.96
2020,Septiembre,Galones por mes,465615475.2,32866974.72,49300462.08,24650231.04,47931004.8
2020,Octubre,Galones por mes,516513637.44,33962540.544,51651363.744,25471905.408,50943810.816
2020,Noviembre,Galones por mes,513546480,27389145.6,50669919.36,23280773.76,42453175.68
2020,Diciembre,Galones por mes,530664696,26887011.264,51651363.744,25471905.408,50943810.816
2021,Enero ,Galones por mes,481135991.04,33962540.544,48113599.104,24056799.552,45990940.32
2021,Febrero,Galones por mes,447356044.8,30675843.072,44735604.48,22367802.24,43457444.352
2021,Marzo,Galones por mes,516513637.44,28302117.12,48113599.104,24764352.48,48113599.104
2021,Abril,Galones por mes,513546480,30812788.8,47931004.8,23280773.76,44507361.6
2021,Mayo,Galones por mes,495287049.6,24764352.48,49528704.96,24764352.48,45990940.32
2021,Junio,Galones por mes,499851907.2,27389145.6,47931004.8,23965502.4,46561547.52
2021,Julio,Galones por mes,530664696,29717222.976,50943810.816,24764352.48,45990940.32
2021,Agosto,Galones por mes,532787354.784,33254987.616,50943810.816,24056799.552,45990940.32
2021,Septiembre,Galones por mes,493689349.44,43137904.32,56147748.48,23965502.4,43822632.96
2021,Octubre,Galones por mes,500947473.024,49528704.96,60141998.88,24764352.48,48821152.032
2021,Noviembre,Galones por mes,447812530.56,43137904.32,49300462.08,22596045.12,46561547.52
2021,Diciembre,Galones por mes,551183730.912,48113599.104,52358916.672,24764352.48,49528704.96
2022,Enero ,Galones por mes,570995212.896,42453175.68,52358916.672,19811481.984,49528704.96
2022,Febrero,Galones por mes,490174409.088,44096524.416,51765485.184,21089642.112,41540204.16
2022,Marzo,Galones por mes,556844154.336,50943810.816,54481575.456,21226587.84,43868281.536
2022,Abril,Galones por mes,538881439.68,45876818.88,55463019.84,20541859.2,38344803.8399999
2022,Mayo,Galones por mes,546230860.416,45283387.392,55189128.384,19811481.984,41038069.824
2022,Junio,Galones por mes,487526791.68,41768447.04,54093562.56,19172401.92,38344803.8400001
2022,julio,Galones por mes,495994602.528,45990940.32,56604234.24,19103929.056,40330516.896
2022,Agosto,Galones por mes,510145661.088,43868281.536,57311787.168,19811481.984,39622963.968
2022,Septiembre,Galones por mes,500536635.84,41083718.4,55463019.84,18487673.28,39714261.12
2022,Octubre,Galones por mes,571702765.824,45283387.392,59434445.952,21226587.84,42453175.68
2022,Noviembre,Galones por mes,550521826.56,43137904.32,58201934.4,21911316.48,41768447.04
2022,Diciembre,Galones por mes,547645966.272,47406046.176,59434445.952,23349246.624,42453175.68
2023,Enero,Galones por mes,521466507.936,48113599.104,58019340.096,22641693.696,43160728.608
2023,Febrero,Galones por mes,508707730.944,40901124.096,49209164.928,19811481.984,38344803.84
2023,Marzo,Galones por mes,371465287.2,36085199.328,48821152.032,21226587.84,39622963.968
2023,Abril,Galones por mes,412891369.92,31497517.44,45192090.24,12325115.52,40398989.76
2023,Mayo,Galones por mes,466277379.552,31132328.832,54481575.456,12735952.704,45283387.392
2023,Junio,Galones por mes,369753465.6,31497517.44,52724105.28,12325115.52,42453175.68
2023,Julio,Galones por mes,377125710.624,33962540.544,54481575.456,21226587.84,38207858.112
